time,energy
0.000000000000000000e+00,6.820841438752864860e-01
4.167465304455326286e-02,6.820555711266524934e-01
8.334930608910652572e-02,6.820045539215522368e-01
1.250239591336597955e-01,6.819430196824799451e-01
1.666986121782130514e-01,6.818849116411912492e-01
2.083732652227663074e-01,6.818460681130791290e-01
2.500479182673195910e-01,6.818391448924066012e-01
2.917225713118728470e-01,6.818750267005633248e-01
3.333972243564261029e-01,6.819591082776161883e-01
3.750718774009793588e-01,6.820940130875596807e-01
4.167465304455326147e-01,6.822783095779649809e-01
4.584211834900858706e-01,6.825086673794502623e-01
5.000958365346391821e-01,6.827808853219703433e-01
5.417704895791923825e-01,6.830895623211693524e-01
5.834451426237456939e-01,6.834312237159916315e-01
6.251197956682988943e-01,6.838007809238046963e-01
6.667944487128522058e-01,6.841967050983566168e-01
7.084691017574055172e-01,6.846148120784668611e-01
7.501437548019587176e-01,6.850550563862725095e-01
7.918184078465120290e-01,6.855141155835047240e-01
8.334930608910652294e-01,6.859920174198623766e-01
8.751677139356185409e-01,6.864871442247959532e-01
9.168423669801717413e-01,6.869980602262102387e-01
9.585170200247250527e-01,6.875248861412491808e-01
1.000191673069278364e+00,6.880647565820148248e-01
1.041866326113831676e+00,6.886185779205779012e-01
1.083540979158384765e+00,6.891834718017324501e-01
1.125215632202938076e+00,6.897599466548585134e-01
1.166890285247491388e+00,6.903456729222764432e-01
1.208564938292044699e+00,6.909404779782416517e-01
1.250239591336597789e+00,6.915427604101123116e-01
1.291914244381151100e+00,6.921516598171391088e-01
1.333588897425704412e+00,6.927662526094987561e-01
1.375263550470257723e+00,6.933851785432373349e-01
1.416938203514811034e+00,6.940079830778045356e-01
1.458612856559364124e+00,6.946331040845945548e-01
1.500287509603917435e+00,6.952602790672705035e-01
1.541962162648470747e+00,6.958880521409053221e-01
1.583636815693024058e+00,6.965161026179605974e-01
1.625311468737577147e+00,6.971433089663100491e-01
1.666986121782130459e+00,6.977691419227989300e-01
1.708660774826683770e+00,6.983929072640363556e-01
1.750335427871237082e+00,6.990138477158901464e-01
1.792010080915790393e+00,6.996316475879961194e-01
1.833684733960343483e+00,7.002454168740452900e-01
1.875359387004896794e+00,7.008550668797282057e-01
1.917034040049450105e+00,7.014597319078402782e-01
1.958708693094003417e+00,7.020593628707578748e-01
2.000383346138556728e+00,7.026532694779262789e-01
2.042057999183109818e+00,7.032412885804293357e-01
2.083732652227663351e+00,7.038229929685198005e-01
2.125407305272216441e+00,7.043980339529078982e-01
2.167081958316769530e+00,7.049662435535379856e-01
2.208756611361323063e+00,7.055271113713634801e-01
2.250431264405876153e+00,7.060806416627630755e-01
2.292105917450429242e+00,7.066262586631850695e-01
2.333780570494982776e+00,7.071640071176764630e-01
2.375455223539535865e+00,7.076933681808207366e-01
2.417129876584089399e+00,7.082143022894581419e-01
2.458804529628642488e+00,7.087264448566571451e-01
2.500479182673195577e+00,7.092295990806779526e-01
2.542153835717749111e+00,7.097235910275552229e-01
2.583828488762302200e+00,7.102080677254886121e-01
2.625503141806855734e+00,7.106830122333577249e-01
2.667177794851408823e+00,7.111479834596058369e-01
2.708852447895961912e+00,7.116030365357951526e-01
2.750527100940515446e+00,7.120477460001979342e-01
2.792201753985068535e+00,7.124821400877352495e-01
2.833876407029622069e+00,7.129059063875811120e-01
2.875551060074175158e+00,7.133189731850544391e-01
2.917225713118728248e+00,7.137211959752698398e-01
2.958900366163281781e+00,7.141123831447698800e-01
3.000575019207834870e+00,7.144925531204782132e-01
3.042249672252388404e+00,7.148614323777053858e-01
3.083924325296941493e+00,7.152191443090532008e-01
3.125598978341494583e+00,7.155654114720405579e-01
3.167273631386048116e+00,7.159003778784803762e-01
3.208948284430601205e+00,7.162238477902732603e-01
3.250622937475154295e+00,7.165359099643398011e-01
3.292297590519707828e+00,7.168365101319567056e-01
3.333972243564260918e+00,7.171256435692545672e-01
3.375646896608814451e+00,7.174034097590483716e-01
3.417321549653367541e+00,7.176697225479913289e-01
3.458996202697920630e+00,7.179247978644224260e-01
3.500670855742474163e+00,7.181685226702968494e-01
3.542345508787027253e+00,7.184011595741645051e-01
3.584020161831580786e+00,7.186226417042647086e-01
3.625694814876133876e+00,7.188332048071349734e-01
3.667369467920686965e+00,7.190328897657686236e-01
3.709044120965240499e+00,7.192218566634948074e-01
3.750718774009793588e+00,7.194002802957043530e-01
3.792393427054347121e+00,7.195682383452972619e-01
3.834068080098900211e+00,7.197260213073242152e-01
3.875742733143453300e+00,7.198736597882184896e-01
3.917417386188006834e+00,7.200115062231766672e-01
3.959092039232559923e+00,7.201396050851767150e-01
4.000766692277113457e+00,7.202583037253033060e-01
4.042441345321666546e+00,7.203677213816914726e-01
4.084115998366219635e+00,7.204681464411251124e-01
4.125790651410772725e+00,7.205598093301868179e-01
4.167465304455326702e+00,7.206429187722461771e-01
4.209139957499879792e+00,7.207178146163683019e-01
4.250814610544432881e+00,7.207846445346207664e-01
4.292489263588985970e+00,7.208438197214604992e-01
4.334163916633539060e+00,7.208954751698707364e-01
4.375838569678093037e+00,7.209400350746322239e-01
4.417513222722646127e+00,7.209776790682173031e-01
4.459187875767199216e+00,7.210087890455513238e-01
4.500862528811752306e+00,7.210336320967530854e-01
4.542537181856305395e+00,7.210525166975969569e-01
4.584211834900858484e+00,7.210658089273145332e-01
4.625886487945412462e+00,7.210737476611328578e-01
4.667561140989965551e+00,7.210767743924411111e-01
4.709235794034518641e+00,7.210750937237844216e-01
4.750910447079071730e+00,7.210691740030347185e-01
4.792585100123624819e+00,7.210592366844931211e-01
4.834259753168178797e+00,7.210457229630938825e-01
4.875934406212731886e+00,7.210289167120886855e-01
4.917609059257284976e+00,7.210091934277245151e-01
4.959283712301838065e+00,7.209869210195603006e-01
5.000958365346391155e+00,7.209624002065238013e-01
5.042633018390945132e+00,7.209360722893261020e-01
5.084307671435498222e+00,7.209081854414760571e-01
5.125982324480051311e+00,7.208792161140418209e-01
5.167656977524604400e+00,7.208494028707768120e-01
5.209331630569157490e+00,7.208192068191912050e-01
5.251006283613711467e+00,7.207889021125029050e-01
5.292680936658264557e+00,7.207588913675774256e-01
5.334355589702817646e+00,7.207295130529010052e-01
5.376030242747370735e+00,7.207010914832024939e-01
5.417704895791923825e+00,7.206740300562765045e-01
5.459379548836477802e+00,7.206485845087351461e-01
5.501054201881030892e+00,7.206251954827864736e-01
5.542728854925583981e+00,7.206040836923542914e-01
5.584403507970137071e+00,7.205856820040805744e-01
5.626078161014690160e+00,7.205702185327087506e-01
5.667752814059244137e+00,7.205580734469786419e-01
5.709427467103797227e+00,7.205495155406492769e-01
5.751102120148350316e+00,7.205448442814409438e-01
5.792776773192903406e+00,7.205443794266468416e-01
5.834451426237456495e+00,7.205483382553512506e-01
5.876126079282010473e+00,7.205570744435932928e-01
5.917800732326563562e+00,7.205707469232088824e-01
5.959475385371116651e+00,7.205897055230140458e-01
6.001150038415669741e+00,7.206140888357592811e-01
6.042824691460222830e+00,7.206441989773377799e-01
6.084499344504776808e+00,7.206801899595955962e-01
6.126173997549329897e+00,7.207222828491623989e-01
