time,section
0.0,0
0.04167465304455326,0
0.08334930608910653,0
0.1250239591336598,0
0.16669861217821305,0
0.2083732652227663,0
0.2500479182673196,0
0.29172257131187285,0
0.3333972243564261,0
0.37507187740097936,0
0.4167465304455326,0
0.4584211834900858,0
0.5000958365346392,0
0.5417704895791924,0
0.5834451426237457,0
0.6251197956682989,0
0.6667944487128522,0
0.7084691017574055,0
0.7501437548019587,0
0.791818407846512,0
0.8334930608910652,0
0.8751677139356185,0
0.9168423669801716,0
0.9585170200247252,0
1.0001916730692784,0
1.0418663261138317,0
1.0835409791583848,0
1.125215632202938,0
1.1668902852474912,0
1.2085649382920447,0
1.2502395913365976,0
1.291914244381151,0
1.3335888974257044,0
1.3752635504702575,0
1.416938203514811,0
1.458612856559364,0
1.5002875096039174,0
1.5419621626484707,0
1.583636815693024,0
1.6253114687375771,0
1.6669861217821305,0
1.7086607748266835,0
1.750335427871237,0
1.7920100809157904,0
1.8336847339603433,0
1.8753593870048968,0
1.91703404004945,0
1.9587086930940032,0
2.0003833461385567,0
2.04205799918311,0
2.0837326522276634,0
2.1254073052722164,0
2.1670819583167695,0
2.208756611361323,0
2.250431264405876,0
2.2921059174504292,0
2.3337805704949828,0
2.375455223539536,0
2.4171298765840894,0
2.4588045296286425,0
2.5004791826731956,0
2.542153835717749,0
2.583828488762302,0
2.6255031418068557,0
2.667177794851409,0
2.708852447895962,0
2.750527100940515,0
2.7922017539850685,0
2.833876407029622,0
2.875551060074175,0
2.917225713118728,0
2.958900366163282,0
3.000575019207835,0
3.0422496722523884,0
3.0839243252969415,0
3.1255989783414946,0
3.167273631386048,0
3.208948284430601,0
3.2506229374751543,0
3.292297590519708,0
3.333972243564261,0
3.3756468966088145,0
3.4173215496533675,0
3.4589962026979206,0
3.500670855742474,0
3.5423455087870273,0
3.584020161831581,0
3.6256948148761334,0
3.6673694679206874,0
3.70904412096524,0
3.7507187740097936,0
3.792393427054347,0
3.8340680800989,0
3.8757427331434537,0
3.9174173861880064,0
3.95909203923256,0
4.0007666922771135,0
4.0424413453216665,0
4.08411599836622,0
4.125790651410773,0
