time,centroid,bandwidth,chroma_hue
2.167081958316769530e+00,3.025940556859242347e-01,5.540026322732343189e-01,3.898466218785663351e-01
2.208756611361323063e+00,3.022975677768509062e-01,5.540668569901046059e-01,2.868128617906792188e-01
2.250431264405876153e+00,3.018914491590810045e-01,5.540528438620030416e-01,2.879642540245905824e-01
2.292105917450429242e+00,3.013640898312162086e-01,5.539475071500992165e-01,3.333333333333333148e-01
2.333780570494982776e+00,3.007071872172090710e-01,5.537406732529099873e-01,3.333333333333333148e-01
2.375455223539535865e+00,2.999153258068193439e-01,5.534245210964823247e-01,3.333333333333333148e-01
2.417129876584089399e+00,2.989855417727283471e-01,5.529927785260231321e-01,3.295939493809944554e-01
2.458804529628642488e+00,2.979092060020742116e-01,5.524332701735423790e-01,2.548168335657245986e-01
2.500479182673195577e+00,2.966903188455594642e-01,5.517440371975497193e-01,3.199602822495451471e-01
2.542153835717749111e+00,2.953438421615803833e-01,5.509349738418692910e-01,3.947373980648157810e-01
2.583828488762302200e+00,2.938812825520201732e-01,5.500106734782352902e-01,6.280580555203423287e-01
2.625503141806855734e+00,2.923145086332967213e-01,5.489768577262986726e-01,7.500000000000000000e-01
2.667177794851408823e+00,2.906574813649920874e-01,5.478412670805298257e-01,6.785291756454145951e-01
2.708852447895961912e+00,2.889268954932944222e-01,5.466136191712709369e-01,6.105125279925625037e-01
2.750527100940515446e+00,2.871407394585982487e-01,5.453052177880877149e-01,6.294207123843333918e-01
2.792201753985068535e+00,2.853169244419330175e-01,5.439288372630076696e-01,4.899332403768962840e-01
2.833876407029622069e+00,2.834762189167144286e-01,5.424987221860373410e-01,4.151561245616257056e-01
2.875551060074175158e+00,2.816447808601322267e-01,5.410290640357293679e-01,3.403790087463558489e-01
2.917225713118728248e+00,2.798491216794404268e-01,5.395437873581566679e-01,3.333333333333333148e-01
2.958900366163281781e+00,2.781130377888490490e-01,5.380619222025068149e-01,3.333333333333333148e-01
3.000575019207834870e+00,2.764617740167095161e-01,5.366037207686203958e-01,3.333333333333333148e-01
3.042249672252388404e+00,2.749189144911347027e-01,5.351883310150120643e-01,3.333333333333333148e-01
3.083924325296941493e+00,2.735080886783585186e-01,5.338352746116654668e-01,3.333333333333333148e-01
3.125598978341494583e+00,2.722518640922371724e-01,5.325638917126871430e-01,2.834326277094707525e-01
3.167273631386048116e+00,2.711706041785006405e-01,5.313923719201287810e-01,2.650314784298788418e-01
3.208948284430601205e+00,2.702844351865004713e-01,5.303389291214584134e-01,6.823425022182783017e-01
3.250622937475154295e+00,2.696165603774281494e-01,5.294248243815316002e-01,8.318967338488179042e-01
3.292297590519707828e+00,2.692131933323113624e-01,5.286883247865140634e-01,3.889804368952558544e-01
3.333972243564260918e+00,2.690616479676329331e-01,5.281262482251756207e-01,3.333333333333333148e-01
3.375646896608814451e+00,2.691729618336291541e-01,5.277505978514350771e-01,3.333333333333333148e-01
3.417321549653367541e+00,2.695559494409108248e-01,5.275721442569012432e-01,3.333333333333333148e-01
3.458996202697920630e+00,2.702177113701620392e-01,5.276014976578780047e-01,5.325030633371314881e-01
3.500670855742474163e+00,2.711625325906606987e-01,5.278470559070614909e-01,5.623336291038185664e-01
3.542345508787027253e+00,2.723910472605170496e-01,5.283142066726135289e-01,3.408860438585334940e-01
3.584020161831580786e+00,2.739004649985755657e-01,5.290057552620028858e-01,5.550027464401917632e-01
3.625694814876133876e+00,2.756852488556043035e-01,5.299214554898705742e-01,4.110575907381587291e-01
3.667369467920686965e+00,2.777458570234763169e-01,5.310669858191575665e-01,3.362804749228889278e-01
3.709044120965240499e+00,2.800746745989881048e-01,5.324428091128747820e-01,4.051633075590483912e-01
3.750718774009793588e+00,2.826328178833859006e-01,5.340218458048504591e-01,3.533929099590151779e-01
3.792393427054347121e+00,2.854002264180462989e-01,5.357923206694018559e-01,3.333333333333333148e-01
3.834068080098900211e+00,2.883535178693661938e-01,5.377386953325492547e-01,3.333333333333333148e-01
3.875742733143453300e+00,2.914648094355858921e-01,5.398430711322594888e-01,3.333333333333333148e-01
3.917417386188006834e+00,2.947041838887448084e-01,5.420857547771310569e-01,3.333333333333333148e-01
3.959092039232559923e+00,2.980403701713905118e-01,5.444450315963709208e-01,3.333333333333333148e-01
4.000766692277113457e+00,3.014399006472736064e-01,5.468972464338934802e-01,3.333333333333333148e-01
4.042441345321666546e+00,3.048697432260727980e-01,5.494183347362476821e-01,3.333333333333333148e-01
4.084115998366219635e+00,3.082892395414395525e-01,5.519834753433948693e-01,3.333333333333333148e-01
4.125790651410772725e+00,3.116553837262054372e-01,5.545597895894093243e-01,3.333333333333333148e-01
4.167465304455326702e+00,3.149326717236719531e-01,5.571170948864943018e-01,3.333333333333333148e-01
4.209139957499879792e+00,3.180865223355300864e-01,5.596287020590829941e-01,3.333333333333333148e-01
4.250814610544432881e+00,3.210829803796109161e-01,5.620685943638626947e-01,3.333333333333333148e-01
4.292489263588985970e+00,3.238901683195433145e-01,5.644113026883238460e-01,3.333333333333333148e-01
