time,centroid,bandwidth,chroma_hue
9.168159162225547609e-01,6.171083927278296910e-01,6.720876798268180519e-01,8.117241641916077555e-01
9.584893669599435784e-01,6.185222858859380501e-01,6.711420689663558647e-01,8.333333333333333703e-01
1.000162817697332507e+00,6.197299196163891244e-01,6.701805214643283826e-01,8.333333333333333703e-01
1.041836268434721324e+00,6.207101833608718033e-01,6.692000020688669837e-01,6.530824004264720317e-01
1.083509719172110142e+00,6.214476656304190882e-01,6.681980204817768998e-01,4.166666666666666852e-01
1.125183169909498959e+00,6.219296310502728797e-01,6.671729360446312374e-01,4.166666666666666852e-01
1.166856620646887777e+00,6.221391718881612576e-01,6.661214488901181507e-01,4.685477115223518063e-01
1.208530071384276816e+00,6.220635656841189132e-01,6.650403613178704765e-01,8.333333333333333703e-01
1.250203522121665634e+00,6.216677404446644406e-01,6.639218217285669521e-01,8.333333333333333703e-01
1.291876972859054451e+00,6.209702291362159121e-01,6.627682873395931429e-01,8.333333333333333703e-01
1.333550423596443268e+00,6.199739233406293959e-01,6.615757022913334451e-01,5.359454725458830948e-01
1.375223874333832086e+00,6.186812487547120876e-01,6.603453365947294929e-01,6.712645647703903151e-01
1.416897325071220903e+00,6.171003132278933823e-01,6.590743744166543960e-01,6.215253979133358309e-01
1.458570775808609721e+00,6.152412335265056154e-01,6.577605203454910399e-01,4.166666666666666852e-01
1.500244226545998760e+00,6.131183727350736357e-01,6.564036563564764615e-01,5.428946767192154299e-01
1.541917677283387578e+00,6.107517960236023002e-01,6.550055507214169737e-01,8.333333333333333703e-01
1.583591128020776395e+00,6.081632488103462242e-01,6.535702208292588633e-01,8.170740994592943229e-01
1.625264578758165213e+00,6.053756357842987601e-01,6.520977429161376460e-01,6.675234178661184625e-01
1.666938029495554030e+00,6.024058205393961751e-01,6.505941522399681931e-01,8.153605970603914344e-01
1.708611480232942847e+00,5.993089681868611907e-01,6.490653593565405277e-01,8.333333333333333703e-01
1.750284930970331887e+00,5.961121906897871581e-01,6.475170397668666977e-01,8.333333333333333703e-01
1.791958381707720704e+00,5.928529931413021314e-01,6.459576217248713670e-01,8.333333333333333703e-01
1.833631832445109522e+00,5.895661145150226101e-01,6.443929123520587554e-01,5.525283679841590523e-01
1.875305283182498339e+00,5.862893714430587044e-01,6.428309244263170630e-01,3.762280100525479121e-01
1.916978733919887157e+00,5.830632190353989275e-01,6.412810394955547055e-01,4.913372934277657755e-01
1.958652184657275974e+00,5.799256274101615150e-01,6.397518249923433986e-01,2.788820348792935278e-01
2.000325635394665014e+00,5.769142823459564307e-01,6.382560627200797310e-01,3.872515421521581236e-01
2.041999086132053609e+00,5.740745320302447219e-01,6.368042076997162404e-01,1.337483816922058200e-02
2.083672536869442649e+00,5.714593824599016880e-01,6.354090756934621664e-01,5.768029853019588371e-01
2.125345987606831244e+00,5.690830787008016589e-01,6.340758014227960704e-01,7.937514279186649313e-01
2.167019438344220283e+00,5.669762064869633411e-01,6.328146150165946393e-01,8.333333333333333703e-01
2.208692889081609323e+00,5.651658272799457983e-01,6.316339423275421083e-01,5.083485644657643743e-01
2.250366339818997918e+00,5.636759215029548686e-01,6.305421661344767781e-01,3.257368060315280478e-01
2.292039790556386958e+00,5.625284665064093081e-01,6.295467041425023558e-01,3.873562561876474075e-01
2.333713241293775553e+00,5.617398022659012558e-01,6.286532102725455040e-01,3.540857512756072634e-01
2.375386692031164593e+00,5.613180689033385740e-01,6.278663862004615348e-01,3.922778158556086137e-01
2.417060142768553632e+00,5.612724612683875902e-01,6.271912305455299430e-01,2.500000000000000000e-01
2.458733593505942228e+00,5.616358566394633600e-01,6.266369217082080612e-01,2.500000000000000000e-01
2.500407044243331267e+00,5.623990880530865821e-01,6.262020132869305922e-01,5.294151245145086726e-01
2.542080494980719862e+00,5.635290461617268321e-01,6.258777001534807649e-01,5.220375447414514758e-01
2.583753945718108902e+00,5.650195413318032100e-01,6.256642752566423660e-01,5.000000000000000000e-01
2.625427396455497497e+00,5.668504483001454153e-01,6.255573129202915972e-01,5.441798035183912363e-01
2.667100847192886537e+00,5.689960174770440915e-01,6.255504394305649862e-01,6.901987662782729238e-01
2.708774297930275576e+00,5.714286556561911645e-01,6.256352922113376236e-01,8.333333333333333703e-01
2.750447748667664172e+00,5.741187121331431387e-01,6.258032470018760618e-01,8.333333333333333703e-01
2.792121199405053211e+00,5.770339535557489352e-01,6.260479670761751603e-01,8.034898332190998360e-01
2.833794650142441807e+00,5.801381269651335604e-01,6.263570704941261447e-01,5.833333333333333703e-01
2.875468100879830846e+00,5.834057081331376349e-01,6.267264934153304878e-01,5.833333333333333703e-01
2.917141551617219442e+00,5.867741459775266399e-01,6.271353372246888380e-01,5.833333333333333703e-01
2.958815002354608481e+00,5.901914558577469050e-01,6.275681316925748598e-01,6.423825298910975645e-01
3.000488453091997521e+00,5.936096154809951120e-01,6.280119961554572194e-01,7.676490747087051369e-01
3.042161903829386116e+00,5.969800685345814095e-01,6.284512492547140727e-01,8.333333333333333703e-01
3.083835354566775155e+00,6.002571114777900396e-01,6.288717761959593533e-01,7.332076764907459188e-01
3.125508805304163751e+00,6.033938363084604406e-01,6.292599117938696418e-01,5.585161069225498265e-01
3.167182256041552790e+00,6.063426151081471316e-01,6.296009486077264183e-01,5.650369354961564117e-01
3.208855706778941830e+00,6.090645778015767453e-01,6.298824431177100225e-01,7.563209199603928568e-01
3.250529157516330425e+00,6.115098550213142747e-01,6.300896964264413036e-01,8.567511994517773566e-03
3.292202608253719465e+00,6.136027642629265921e-01,6.302008811398824850e-01,7.391858959713722976e-01
3.333876058991108060e+00,6.153293972852829086e-01,6.302131430302082560e-01,8.333333333333333703e-01
3.375549509728497100e+00,6.166605622303695800e-01,6.301168107912714644e-01,8.333333333333333703e-01
3.417222960465885695e+00,6.175690144406745796e-01,6.299047305326224144e-01,7.368441093595311520e-01
3.458896411203274734e+00,6.180315575674112383e-01,6.295704249790975426e-01,7.460399055669794111e-01
3.500569861940663774e+00,6.180295228954763020e-01,6.291083261874360621e-01,8.333333333333333703e-01
3.542243312678052369e+00,6.175475374040114707e-01,6.285148494915581141e-01,8.333333333333333703e-01
3.583916763415441409e+00,6.165736905822797320e-01,6.277887406291514649e-01,8.333333333333333703e-01
3.625590214152830004e+00,6.151039615108332415e-01,6.269298913158266595e-01,8.333333333333333703e-01
3.667263664890219044e+00,6.131245973975121277e-01,6.259329500319098516e-01,8.333333333333333703e-01
3.708937115627607639e+00,6.106229845444017812e-01,6.247999209195520542e-01,7.616613357703146958e-01
3.750610566364996679e+00,6.076554939408351785e-01,6.235472399883348338e-01,7.500000000000000000e-01
3.792284017102385718e+00,6.042380665289830421e-01,6.221821106126035339e-01,8.045560124895291265e-01
3.833957467839774313e+00,6.003967472096143343e-01,6.207130563764586828e-01,8.333333333333333703e-01
3.875630918577163353e+00,5.961639942773124812e-01,6.191520806597037296e-01,8.333333333333333703e-01
3.917304369314551948e+00,5.915729269740755969e-01,6.175120949636012657e-01,8.333333333333333703e-01
3.958977820051940988e+00,5.866572524297691826e-01,6.158058763999897378e-01,7.926852486482364180e-01
4.000651270789330027e+00,5.814561386476191363e-01,6.140479412957164929e-01,6.901987662782737010e-01
4.042324721526719067e+00,5.760159717524069301e-01,6.122548294201834995e-01,8.333333333333333703e-01
4.083998172264107218e+00,5.703783268867405054e-01,6.104434565533702894e-01,8.333333333333333703e-01
4.125671623001496258e+00,5.646047566965790576e-01,6.086340949530679723e-01,8.333333333333333703e-01
4.167345073738885297e+00,5.587559816467667639e-01,6.068451321444060520e-01,2.246592034117693704e-01
4.209018524476274337e+00,5.528791246828634875e-01,6.050953958953305678e-01,5.754036250095327931e-01
4.250691975213662488e+00,5.470247924579534349e-01,6.033997249185996115e-01,6.541580991546747104e-01
4.292365425951051527e+00,5.412446168993951812e-01,6.017754003294399912e-01,5.574404081943475919e-01
4.334038876688440567e+00,5.355863864898573468e-01,6.002393112372832462e-01,7.500000000000000000e-01
4.375712327425829606e+00,5.300959724587763766e-01,5.988061349766378161e-01,7.500000000000000000e-01
4.417385778163218646e+00,5.248229182795809411e-01,5.974922493790146838e-01,7.500000000000000000e-01
4.459059228900606797e+00,5.198087847506230874e-01,5.963111029698223708e-01,7.509614652349397845e-01
4.500732679637995837e+00,5.151297525743712136e-01,5.952902918942073462e-01,8.257368060315287694e-01
4.542406130375384876e+00,5.107983569710786709e-01,5.944279943224912710e-01,8.333333333333333703e-01
4.584079581112773916e+00,5.068419015715850406e-01,5.937311565637711785e-01,8.333333333333333703e-01
4.625753031850162955e+00,5.032868243332695446e-01,5.932051312560936429e-01,5.830191912268622989e-01
4.667426482587551106e+00,5.001564615503241162e-01,5.928551503057641892e-01,5.826860102048567747e-01
4.709099933324940146e+00,4.974683477140573462e-01,5.926850410045189088e-01,7.500000000000000000e-01
4.750773384062329185e+00,4.952336522025654886e-01,5.926958081172064574e-01,7.500000000000000000e-01
4.792446834799718225e+00,4.934586669988077490e-01,5.928862313652600857e-01,7.500000000000000000e-01
4.834120285537107264e+00,4.921460873981660100e-01,5.932545472150476673e-01,7.500000000000000000e-01
4.875793736274495416e+00,4.913049368959973018e-01,5.937982204843877954e-01,7.500000000000000000e-01
4.917467187011884455e+00,4.909612451424013035e-01,5.945244969908966004e-01,7.500000000000000000e-01
4.959140637749273495e+00,4.910550594808675839e-01,5.954067400948926947e-01,7.500000000000000000e-01
5.000814088486662534e+00,4.915757385802208557e-01,5.964359333146675990e-01,7.500000000000000000e-01
5.042487539224050686e+00,4.925031582195784630e-01,5.976003604831146010e-01,7.500000000000000000e-01
5.084160989961439725e+00,4.938099645761757639e-01,5.988899339466990934e-01,7.500000000000000000e-01
5.125834440698828764e+00,4.954676657824715891e-01,6.002916242143901959e-01,7.500000000000000000e-01
