time,energy
0.000000000000000000e+00,9.597235940365948792e-02
4.167259350091968156e-02,9.621028197059156017e-02
8.334518700183936313e-02,9.668652235797073335e-02
1.250177805027590516e-01,9.740183968240057055e-02
1.666903740036787263e-01,9.835686647800609417e-02
2.083629675045984009e-01,9.955212423046570780e-02
2.500355610055181033e-01,1.009873666755537608e-01
2.917081545064377779e-01,1.026618046247640970e-01
3.333807480073574525e-01,1.045736267624733373e-01
3.750533415082771271e-01,1.067203890560247115e-01
4.167259350091968018e-01,1.090988505603825154e-01
4.583985285101164764e-01,1.117052691093402411e-01
5.000711220110362065e-01,1.145355359612189872e-01
5.417437155119558811e-01,1.175851195634940449e-01
5.834163090128755558e-01,1.208494750066912704e-01
6.250889025137952304e-01,1.243235424504143261e-01
6.667614960147149050e-01,1.280024296522996319e-01
7.084340895156345796e-01,1.318805431197481171e-01
7.501066830165542543e-01,1.359524905929246352e-01
7.917792765174739289e-01,1.402120509194323406e-01
8.334518700183936035e-01,1.446530590332760213e-01
8.751244635193132781e-01,1.492687135512118790e-01
9.167970570202329528e-01,1.540518204990819207e-01
9.584696505211526274e-01,1.589949834088285330e-01
1.000142244022072413e+00,1.640899973804019474e-01
1.041814837522992088e+00,1.693287922732265027e-01
1.083487431023911762e+00,1.747024386610278868e-01
1.125160024524831437e+00,1.802021699636465468e-01
1.166832618025751112e+00,1.858185917810254995e-01
1.208505211526670786e+00,1.915424286762869577e-01
1.250177805027590461e+00,1.973641110564094414e-01
1.291850398528510135e+00,2.032741524749585027e-01
1.333522992029429810e+00,2.092631259506916586e-01
1.375195585530349485e+00,2.153217010356085481e-01
1.416868179031269159e+00,2.214409131326508795e-01
1.458540772532188834e+00,2.276119725351100354e-01
1.500213366033108509e+00,2.338266687414020661e-01
1.541885959534028183e+00,2.400770989496648355e-01
1.583558553034947858e+00,2.463560422144644435e-01
1.625231146535867532e+00,2.526567403346943186e-01
1.666903740036787207e+00,2.589731186641821559e-01
1.708576333537706882e+00,2.652996995586901496e-01
1.750248927038626556e+00,2.716316189107303991e-01
1.791921520539546231e+00,2.779646833028021624e-01
1.833594114040465906e+00,2.842952076550457896e-01
1.875266707541385580e+00,2.906201667775190067e-01
1.916939301042305255e+00,2.969369352038056520e-01
1.958611894543224929e+00,3.032434511792713172e-01
2.000284488044144826e+00,3.095379595347949042e-01
2.041957081545064501e+00,3.158191090074731755e-01
2.083629675045984175e+00,3.220857812197765457e-01
2.125302268546903850e+00,3.283370752190276076e-01
2.166974862047823525e+00,3.345722614535268091e-01
2.208647455548743199e+00,3.407906551095630787e-01
2.250320049049662874e+00,3.469916823681424289e-01
2.291992642550582548e+00,3.531746873666228304e-01
2.333665236051502223e+00,3.593390583546584027e-01
2.375337829552421898e+00,3.654840361832800144e-01
2.417010423053341572e+00,3.716088332060646371e-01
2.458683016554261247e+00,3.777125071497518527e-01
2.500355610055180922e+00,3.837940182667280431e-01
2.542028203556100596e+00,3.898522049113140597e-01
2.583700797057020271e+00,3.958857567256292564e-01
2.625373390557939945e+00,4.018932892441065552e-01
2.667045984058859620e+00,4.078732485218387049e-01
2.708718577559779295e+00,4.138240469939564736e-01
2.750391171060698969e+00,4.197439429130865873e-01
2.792063764561618644e+00,4.256311812771398917e-01
2.833736358062538319e+00,4.314838997697062473e-01
2.875408951563457993e+00,4.373002224459320852e-01
2.917081545064377668e+00,4.430782308945808712e-01
2.958754138565297342e+00,4.488159814075659004e-01
3.000426732066217017e+00,4.545115524348497527e-01
3.042099325567136692e+00,4.601629880489060409e-01
3.083771919068056366e+00,4.657684022363367538e-01
3.125444512568976041e+00,4.713258797918628007e-01
3.167117106069895716e+00,4.768335966905073997e-01
3.208789699570815390e+00,4.822897236212635996e-01
3.250462293071735065e+00,4.876925173929981816e-01
3.292134886572654739e+00,4.930402678093506741e-01
3.333807480073574414e+00,4.983313285131842907e-01
3.375480073574494089e+00,5.035641278489958461e-01
3.417152667075413763e+00,5.087371325375549258e-01
3.458825260576333438e+00,5.138489163331303455e-01
3.500497854077253113e+00,5.188980760835473216e-01
3.542170447578172787e+00,5.238833291781934687e-01
3.583843041079092462e+00,5.288034186549822602e-01
3.625515634580012136e+00,5.336572002935140446e-01
3.667188228080931811e+00,5.384435753497702759e-01
3.708860821581851486e+00,5.431615339530523334e-01
3.750533415082771160e+00,5.478101408794775473e-01
3.792206008583690835e+00,5.523885205583063396e-01
3.833878602084610510e+00,5.568958989546730631e-01
3.875551195585530184e+00,5.613315390137135763e-01
3.917223789086449859e+00,5.656948193617296061e-01
3.958896382587369533e+00,5.699851479453740266e-01
4.000568976088289652e+00,5.742020445837773268e-01
4.042241569589209327e+00,5.783450677008136198e-01
4.083914163090129001e+00,5.824138676861270181e-01
4.125586756591048676e+00,5.864081547383722670e-01
4.167259350091968351e+00,5.903277029114416541e-01
4.208931943592888025e+00,5.941723695297161933e-01
4.250604537093807700e+00,5.979420500458604293e-01
4.292277130594727375e+00,6.016367386400560680e-01
4.333949724095647049e+00,6.052564533245283762e-01
4.375622317596566724e+00,6.088013114748679344e-01
4.417294911097486398e+00,6.122714554705209755e-01
4.458967504598406073e+00,6.156671120719442447e-01
4.500640098099325748e+00,6.189885473537145577e-01
4.542312691600245422e+00,6.222360864494413946e-01
4.583985285101165097e+00,6.254101137543079947e-01
4.625657878602084772e+00,6.285110461090497314e-01
4.667330472103004446e+00,6.315393756992334628e-01
4.709003065603924121e+00,6.344956083735256991e-01
4.750675659104843795e+00,6.373803298731196554e-01
4.792348252605763470e+00,6.401941342711842120e-01
4.834020846106683145e+00,6.429376856660927730e-01
4.875693439607602819e+00,6.456116646649624480e-01
4.917366033108522494e+00,6.482168004961744723e-01
4.959038626609442169e+00,6.507538552779363883e-01
5.000711220110361843e+00,6.532236141119850403e-01
5.042383813611281518e+00,6.556269112149211153e-01
5.084056407112201192e+00,6.579645826184493673e-01
5.125729000613120867e+00,6.602375215421202315e-01
5.167401594114040542e+00,6.624466129590721453e-01
5.209074187614960216e+00,6.645927944738097004e-01
5.250746781115879891e+00,6.666769985319149772e-01
5.292419374616799566e+00,6.687001937224468229e-01
5.334091968117719240e+00,6.706633565259021434e-01
5.375764561618638915e+00,6.725674765803080213e-01
5.417437155119558589e+00,6.744135674617397491e-01
5.459109748620478264e+00,6.762026342959900349e-01
5.500782342121397939e+00,6.779357173304311202e-01
5.542454935622317613e+00,6.796138352711960096e-01
5.584127529123237288e+00,6.812380426571518210e-01
5.625800122624156963e+00,6.828093715265386443e-01
5.667472716125076637e+00,6.843288787812430440e-01
5.709145309625996312e+00,6.857976087775472518e-01
5.750817903126915986e+00,6.872166116237788946e-01
5.792490496627835661e+00,6.885869403421149837e-01
5.834163090128755336e+00,6.899096331944264415e-01
5.875835683629675010e+00,6.911857449903742179e-01
5.917508277130594685e+00,6.924163010513809668e-01
5.959180870631514360e+00,6.936023487649406460e-01
6.000853464132434034e+00,6.947449018621230099e-01
6.042526057633353709e+00,6.958449907503502230e-01
6.084198651134273383e+00,6.969036191206771091e-01
6.125871244635193058e+00,6.979217927494296703e-01
6.167543838136112733e+00,6.989005049723973073e-01
6.209216431637032407e+00,6.998407328158906537e-01
6.250889025137952082e+00,7.007434559995059375e-01
6.292561618638871757e+00,7.016096225783912121e-01
6.334234212139791431e+00,7.024401927477907925e-01
6.375906805640711106e+00,7.032360882581566441e-01
6.417579399141630780e+00,7.039982427368697282e-01
6.459251992642550455e+00,7.047275552266109022e-01
6.500924586143470130e+00,7.054249266914499605e-01
6.542597179644389804e+00,7.060912358792821308e-01
6.584269773145309479e+00,7.067273477467435061e-01
6.625942366646229154e+00,7.073341205334607862e-01
6.667614960147148828e+00,7.079123834000023985e-01
6.709287553648068503e+00,7.084629710072086750e-01
6.750960147148988177e+00,7.089866799861718194e-01
6.792632740649907852e+00,7.094843165184178124e-01
6.834305334150827527e+00,7.099566494410488593e-01
6.875977927651747201e+00,7.104044515567392581e-01
6.917650521152666876e+00,7.108284680829138891e-01
6.959323114653586551e+00,7.112294354196210255e-01
7.000995708154506225e+00,7.116080771055275367e-01
7.042668301655425900e+00,7.119650931505943081e-01
7.084340895156345574e+00,7.123011844478098764e-01
7.126013488657265249e+00,7.126170176565750358e-01
7.167686082158184924e+00,7.129132677020809661e-01
7.209358675659104598e+00,7.131905728001619593e-01
7.251031269160024273e+00,7.134495777489258117e-01
7.292703862660943948e+00,7.136908972611165636e-01
7.334376456161863622e+00,7.139151428578162095e-01
7.376049049662783297e+00,7.141229089466590851e-01
7.417721643163702971e+00,7.143147730553868202e-01
7.459394236664622646e+00,7.144913097171504690e-01
7.501066830165542321e+00,7.146530646213786753e-01
7.542739423666461995e+00,7.148005901964863407e-01
7.584412017167381670e+00,7.149344046124000984e-01
7.626084610668301345e+00,7.150550344635516753e-01
7.667757204169221019e+00,7.151629753305492887e-01
7.709429797670140694e+00,7.152587244715160608e-01
7.751102391171060368e+00,7.153427586519789383e-01
7.792774984671980043e+00,7.154155441057372666e-01
7.834447578172899718e+00,7.154775401215625052e-01
7.876120171673819392e+00,7.155291828536206600e-01
7.917792765174739067e+00,7.155709127182304785e-01
7.959465358675658742e+00,7.156031391066706160e-01
8.001137952176579304e+00,7.156262802120443300e-01
8.042810545677498979e+00,7.156407231380396139e-01
8.084483139178418654e+00,7.156468600715868433e-01
8.126155732679338328e+00,7.156450597990220430e-01
8.167828326180258003e+00,7.156356859326022946e-01
8.209500919681177677e+00,7.156190909644004616e-01
8.251173513182097352e+00,7.155956096933454580e-01
8.292846106683017027e+00,7.155655777429161812e-01
8.334518700183936701e+00,7.155293033446200601e-01
8.376191293684856376e+00,7.154871024677966762e-01
8.417863887185776051e+00,7.154392606628244833e-01
8.459536480686695725e+00,7.153860704994132735e-01
8.501209074187615400e+00,7.153277988902708717e-01
8.542881667688535074e+00,7.152647119053991975e-01
8.584554261189454749e+00,7.151970605049293717e-01
8.626226854690374424e+00,7.151250831230677729e-01
8.667899448191294098e+00,7.150490151537920447e-01
8.709572041692213773e+00,7.149690687414202994e-01
8.751244635193133448e+00,7.148854618033755326e-01
8.792917228694053122e+00,7.147983835540415720e-01
8.834589822194972797e+00,7.147080311563076549e-01
8.876262415695892471e+00,7.146145750247456796e-01
8.917935009196812146e+00,7.145181883956345237e-01
8.959607602697731821e+00,7.144190262783061129e-01
9.001280196198651495e+00,7.143172363416775417e-01
9.042952789699571170e+00,7.142129596891861887e-01
9.084625383200490845e+00,7.141063191281815659e-01
9.126297976701410519e+00,7.139974411049084813e-01
9.167970570202330194e+00,7.138864265131963371e-01
9.209643163703249868e+00,7.137733847182249347e-01
9.251315757204169543e+00,7.136583989283639129e-01
9.292988350705089218e+00,7.135415585978415187e-01
9.334660944206008892e+00,7.134229333383780292e-01
9.376333537706928567e+00,7.133025908974937046e-01
9.418006131207848242e+00,7.131805899380756486e-01
9.459678724708767916e+00,7.130569767778791590e-01
9.501351318209687591e+00,7.129317996700379467e-01
9.543023911710607265e+00,7.128050860834932445e-01
9.584696505211526940e+00,7.126768725123606707e-01
9.626369098712446615e+00,7.125471718077889260e-01
9.668041692213366289e+00,7.124160064712213858e-01
9.709714285714285964e+00,7.122833793527285628e-01
9.751386879215205639e+00,7.121492972153533607e-01
9.793059472716125313e+00,7.120137565477057118e-01
9.834732066217044988e+00,7.118767483021013476e-01
9.876404659717964662e+00,7.117382643484265747e-01
