time,energy
0.000000000000000000e+00,4.859572200202730285e-01
4.167345073738885214e-02,4.860012037600593970e-01
8.334690147477770428e-02,4.860934303185759919e-01
1.250203522121665634e-01,4.862421858248879847e-01
1.666938029495554086e-01,4.864570974769680256e-01
2.083672536869442538e-01,4.867490522106661111e-01
2.500407044243331267e-01,4.871265916170477439e-01
2.917141551617219442e-01,4.875969192819342712e-01
3.333876058991108171e-01,4.881632595665811314e-01
3.750610566364996901e-01,4.888267913528516195e-01
4.167345073738885075e-01,4.895857345702012142e-01
4.584079581112773805e-01,4.904368807441591982e-01
5.000814088486662534e-01,4.913763202125743801e-01
5.417548595860550709e-01,4.923992036579881715e-01
5.834283103234438883e-01,4.935019599867740414e-01
6.251017610608328168e-01,4.946797742383182150e-01
6.667752117982216342e-01,4.959302615122367919e-01
7.084486625356104517e-01,4.972490438576814276e-01
7.501221132729993801e-01,4.986345778836439036e-01
7.917955640103881976e-01,5.000828796783194363e-01
8.334690147477770150e-01,5.015922361337842306e-01
8.751424654851659435e-01,5.031596537196589836e-01
9.168159162225547609e-01,5.047821593278574159e-01
9.584893669599435784e-01,5.064577833574589460e-01
1.000162817697332507e+00,5.081823341892742762e-01
1.041836268434721324e+00,5.099542136020353000e-01
1.083509719172110142e+00,5.117690531583438673e-01
1.125183169909498959e+00,5.136248267397587330e-01
1.166856620646887777e+00,5.155174396583391827e-01
1.208530071384276816e+00,5.174442954879094891e-01
1.250203522121665634e+00,5.194017663303360788e-01
1.291876972859054451e+00,5.213867520915371756e-01
1.333550423596443268e+00,5.233961306965513316e-01
1.375223874333832086e+00,5.254265094394041657e-01
1.416897325071220903e+00,5.274752004860991939e-01
1.458570775808609721e+00,5.295388056544900746e-01
1.500244226545998760e+00,5.316149450429038525e-01
1.541917677283387578e+00,5.337004987701974290e-01
1.583591128020776395e+00,5.357932735281687453e-01
1.625264578758165213e+00,5.378906368558674655e-01
1.666938029495554030e+00,5.399905115899927832e-01
1.708611480232942847e+00,5.420908433329725273e-01
1.750284930970331887e+00,5.441896704631680182e-01
1.791958381707720704e+00,5.462854828511589655e-01
1.833631832445109522e+00,5.483764923395287871e-01
1.875305283182498339e+00,5.504616046640410376e-01
1.916978733919887157e+00,5.525392873524564985e-01
1.958652184657275974e+00,5.546086914979604376e-01
2.000325635394665014e+00,5.566686045234521263e-01
2.041999086132053609e+00,5.587182663816392392e-01
2.083672536869442649e+00,5.607567967740844095e-01
2.125345987606831244e+00,5.627834235557045428e-01
2.167019438344220283e+00,5.647975462654292178e-01
2.208692889081609323e+00,5.667983508709328877e-01
2.250366339818997918e+00,5.687854112372436877e-01
2.292039790556386958e+00,5.707579012828015719e-01
2.333713241293775553e+00,5.727154417854442015e-01
2.375386692031164593e+00,5.746572535977536589e-01
2.417060142768553632e+00,5.765828935546168932e-01
2.458733593505942228e+00,5.784916820251738701e-01
2.500407044243331267e+00,5.803830492439503441e-01
2.542080494980719862e+00,5.822564346951403236e-01
2.583753945718108902e+00,5.841111415125704864e-01
2.625427396455497497e+00,5.859467063704308920e-01
2.667100847192886537e+00,5.877623593621693621e-01
2.708774297930275576e+00,5.895576817163415972e-01
2.750447748667664172e+00,5.913319140684708541e-01
2.792121199405053211e+00,5.930846227581851871e-01
2.833794650142441807e+00,5.948151396985441597e-01
2.875468100879830846e+00,5.965229762952499737e-01
2.917141551617219442e+00,5.982076059805153667e-01
2.958815002354608481e+00,5.998684822341540102e-01
3.000488453091997521e+00,6.015052262921830595e-01
3.042161903829386116e+00,6.031172701169085215e-01
3.083835354566775155e+00,6.047043493591428565e-01
3.125508805304163751e+00,6.062659369707108503e-01
3.167182256041552790e+00,6.078018287301031330e-01
3.208855706778941830e+00,6.093116040412033252e-01
3.250529157516330425e+00,6.107950685064410523e-01
3.292202608253719465e+00,6.122519527861750577e-01
3.333876058991108060e+00,6.136820469527011213e-01
3.375549509728497100e+00,6.150852421085013511e-01
3.417222960465885695e+00,6.164613216556575903e-01
3.458896411203274734e+00,6.178103097411278277e-01
